year,month,gold,stocks,bonds
1871,1,100,100,100
1871,2,100,101.87,102.29
1871,3,100,104.87,103.44
1871,4,100,108.45,105.05
1871,5,100,111.47,106.73
1871,6,100,111.08,107.95
1871,7,100,109.55,106.63
1871,8,100,111.18,107.5
1871,9,100,112.81,108.91
1871,10,100,107.49,108.59
1871,11,100,109.13,109.22
1871,12,100,112.25,110.1
1872,1,102.66,115.42,107.31
1872,2,102.66,116.54,107.23
1872,3,102.66,120.62,108.12
1872,4,102.66,124.73,110.78
1872,5,102.66,125.26,113.52
1872,6,102.66,124.59,115.28
1872,7,102.66,124.23,113.22
1872,8,102.66,123.32,113.58
1872,9,102.66,122.12,112.56
1872,10,102.66,123.07,114.41
1872,11,102.66,123.38,115.39
1872,12,102.66,126.8,116.75
1873,1,100.66,128.35,115.41
1873,2,100.66,130.23,116.21
1873,3,100.66,129.65,117.77
1873,4,100.66,128.47,119.22
1873,5,100.66,129.5,121.49
1873,6,100.66,128.64,123.46
1873,7,100.66,129.07,120.93
1873,8,100.66,129.82,121.24
1873,9,100.66,120.51,119.01
1873,10,100.66,110.84,116.77
1873,11,100.66,107.56,117.01
1873,12,100.66,118.48,123.28
1874,1,102.21,125.34,122.14
1874,2,102.21,129.55,125.03
1874,3,102.21,128.43,126.34
1874,4,102.21,125.28,127.7
1874,5,102.21,122.89,128.28
1874,6,102.21,122.89,129.2
1874,7,102.21,123.57,125.28
1874,8,102.21,124.6,125.93
1874,9,102.21,127.37,126.04
1874,10,102.21,127.72,126.7
1874,11,102.21,129.13,128.85
1874,12,102.21,129.49,131.36
1875,1,104.21,130.26,129.97
1875,2,104.21,130.68,131.47
1875,3,104.21,132.89,132.13
1875,4,104.21,135.42,134.33
1875,5,104.21,131.06,136.6
1875,6,104.21,128.87,138.61
1875,7,104.21,129.91,133.67
1875,8,104.21,131.32,134.08
1875,9,104.21,130.52,134.33
1875,10,104.21,129.34,135.23
1875,11,104.21,131.89,136.41
1875,12,104.21,132.61,137.81
1876,1,98.72,136.42,136.08
1876,2,98.72,139.1,137.91
1876,3,98.72,139.47,137.97
1876,4,98.72,134.79,138.09
1876,5,98.72,130.46,138.64
